[2024-12-26 19:34:57] Username: select, IP: 127.0.0.1, Message: SQL Injection Attempt
[2024-12-26 19:39:17] Username: select, IP: 127.0.0.1, Message: SQL Injection Attempt
[2024-12-26 21:06:40] Username: sokodw, IP: 127.0.0.1, Message: SQL Injection Attempt
[2024-12-26 21:07:50] Username: sokodw, IP: 127.0.0.1, Message: SQL Injection Attempt
[2024-12-26 21:07:57] Username: sokodw, IP: 127.0.0.1, Message: SQL Injection Attempt
[2024-12-26 21:12:15] Username: zeyad, IP: 127.0.0.1, Message: Invalid input detected.
[2024-12-26 21:13:25] Username: zeyad, IP: 127.0.0.1, Message: Invalid input detected.
[2024-12-26 22:23:59] Username: yasser, IP: 127.0.0.1, Message: SQL Injection Attempt
[2024-12-26 22:27:58] Username: yasser, IP: 127.0.0.1, Message: SQL Injection Attempt
[2024-12-26 22:38:46] Username: yasser, IP: 127.0.0.1, Message: Invalid input detected.
[2024-12-26 22:39:15] Username: yasser, IP: 127.0.0.1, Message: Invalid input detected.
[2024-12-26 22:42:52] Username: yasser, IP: 127.0.0.1, Message: Invalid input detected.
[2024-12-26 22:43:18] Username: yasser, IP: 127.0.0.1, Message: Invalid input detected.
[2024-12-26 22:44:27] Username: yasser, IP: 127.0.0.1, Message: Invalid input detected.
[2024-12-26 22:45:15] Username: yasser, IP: 127.0.0.1, Message: Invalid input detected.
[2024-12-26 22:45:18] Username: yasser, IP: 127.0.0.1, Message: Invalid input detected.
[2024-12-26 22:47:31] Username: yasser, IP: 127.0.0.1, Message: Invalid input detected.
[2024-12-26 22:50:51] Username: yasser, IP: 127.0.0.1, Message: Invalid input detected.
[2024-12-26 22:51:51] Username: yasser, IP: 127.0.0.1, Message: Invalid input detected.
[2024-12-26 22:55:14] Username: yasser, IP: 127.0.0.1, Message: Invalid input detected.
[2024-12-26 22:55:34] Username: yasser, IP: 127.0.0.1, Message: Invalid input detected.
[2024-12-26 22:59:18] Username: yasser, IP: 127.0.0.1, Message: Invalid input detected.
[2024-12-26 22:59:29] Username: yasser, IP: 127.0.0.1, Message: Invalid input detected.
